Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2829.8","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1019.8","","Donnée officielle"
"PP","Prix à la Production","9","Argentine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","880.8","","Donnée officielle"
"PP","Prix à la Production","1","Arménie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","819.5","","Donnée officielle"
"PP","Prix à la Production","11","Autriche","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1244.1","","Donnée officielle"
"PP","Prix à la Production","57","Bélarus","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","786","","Donnée officielle"
"PP","Prix à la Production","255","Belgique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1029.6","","Donnée officielle"
"PP","Prix à la Production","80","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","714.2","Fc","Donnée calculée"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2934.2","","Donnée officielle"
"PP","Prix à la Production","27","Bulgarie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1088.2","","Donnée officielle"
"PP","Prix à la Production","33","Canada","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1605.2","","Donnée officielle"
"PP","Prix à la Production","96","Chine - RAS de Hong-Kong","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","5119.6","","Donnée officielle"
"PP","Prix à la Production","98","Croatie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1132.8","","Donnée officielle"
"PP","Prix à la Production","54","Danemark","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","976.6","","Donnée officielle"
"PP","Prix à la Production","58","Équateur","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1731.1","","Donnée officielle"
"PP","Prix à la Production","203","Espagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1367.2","","Donnée officielle"
"PP","Prix à la Production","63","Estonie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1211.4","","Donnée officielle"
"PP","Prix à la Production","185","Fédération de Russie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1130.5","","Donnée officielle"
"PP","Prix à la Production","84","Grèce","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1677.4","","Donnée officielle"
"PP","Prix à la Production","90","Guinée","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","3322.9","","Donnée officielle"
"PP","Prix à la Production","91","Guyana","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2330.1","","Donnée officielle"
"PP","Prix à la Production","97","Hongrie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","940.2","","Donnée officielle"
"PP","Prix à la Production","101","Indonésie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1985.6","","Donnée officielle"
"PP","Prix à la Production","105","Israël","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1830.9","","Donnée officielle"
"PP","Prix à la Production","106","Italie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1659.8","","Donnée officielle"
"PP","Prix à la Production","110","Japon","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2039.4","","Donnée officielle"
"PP","Prix à la Production","119","Lettonie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1447.1","","Donnée officielle"
"PP","Prix à la Production","121","Liban","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1936.3","","Donnée officielle"
"PP","Prix à la Production","126","Lituanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","987.1","","Donnée officielle"
"PP","Prix à la Production","256","Luxembourg","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","4125.4","","Donnée officielle"
"PP","Prix à la Production","154","Macédoine du Nord","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","713","","Donnée officielle"
"PP","Prix à la Production","131","Malaisie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1313.5","","Donnée officielle"
"PP","Prix à la Production","138","Mexique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1179.9","","Donnée officielle"
"PP","Prix à la Production","144","Mozambique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2353.9","","Donnée officielle"
"PP","Prix à la Production","156","Nouvelle-Zélande","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1264.8","","Donnée officielle"
"PP","Prix à la Production","150","Pays-Bas","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1012.7","","Donnée officielle"
"PP","Prix à la Production","170","Pérou","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1483.4","","Donnée officielle"
"PP","Prix à la Production","171","Philippines","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1900.8","","Donnée officielle"
"PP","Prix à la Production","173","Pologne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","963.5","","Donnée officielle"
"PP","Prix à la Production","174","Portugal","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","998.2","","Donnée officielle"
"PP","Prix à la Production","146","République de Moldova","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1159.9","","Donnée officielle"
"PP","Prix à la Production","56","République dominicaine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1004.8","","Donnée officielle"
"PP","Prix à la Production","183","Roumanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","964.1","","Donnée officielle"
